entry ,species,chemical,light,tissue,mass,log.mass
429,M.maximus,none,shade,below,11,2.48490665
430,M.maximus,none,shade,above,30,3.433987204
431,M.maximus,none,shade,total,41,3.737669618
432,M.maximus,none,shade,root.shoot,0.366666667,0.312374685
433,X.texanum,crude,open,below,NA,NA
434,X.texanum,crude,open,above,NA,NA
435,X.texanum,crude,open,total,NA,NA
436,X.texanum,crude,open,root.shoot,NA,NA
437,C.fasciculata,crude,open,below,6,1.945910149
438,C.fasciculata,crude,open,above,22,3.135494216
439,C.fasciculata,crude,open,total,28,3.36729583
440,C.fasciculata,crude,open,root.shoot,0.272727273,0.241162057
441,S.scheelei,crude,open,below,5,1.791759469
442,S.scheelei,crude,open,above,16,2.833213344
443,S.scheelei,crude,open,total,21,3.091042453
444,S.scheelei,crude,open,root.shoot,0.3125,0.271933715
445,M.maximus,crude,open,below,86,4.465908119
446,M.maximus,crude,open,above,94,4.553876892
447,M.maximus,crude,open,total,180,5.198497031
448,M.maximus,crude,open,root.shoot,0.914893617,0.649662069
449,X.texanum,standard,open,below,0.6,0.470003629
450,X.texanum,standard,open,above,2.6,1.280933845
451,X.texanum,standard,open,total,3.2,1.435084525
452,X.texanum,standard,open,root.shoot,0.230769231,0.207639365
453,C.fasciculata,standard,open,below,88,4.48863637
454,C.fasciculata,standard,open,above,69,4.248495242
455,C.fasciculata,standard,open,total,157,5.062595033
456,C.fasciculata,standard,open,root.shoot,1.275362319,0.822139301
457,S.scheelei,standard,open,below,6,1.945910149
458,S.scheelei,standard,open,above,10,2.397895273
459,S.scheelei,standard,open,total,16,2.833213344
460,S.scheelei,standard,open,root.shoot,0.6,0.470003629
461,M.maximus,standard,open,below,207,5.33753808
462,M.maximus,standard,open,above,153,5.036952602
463,M.maximus,standard,open,total,360,5.888877958
464,M.maximus,standard,open,root.shoot,1.352941176,0.85566611
465,X.texanum,none,open,below,1.7,0.993251773
466,X.texanum,none,open,above,1.2,0.78845736
467,X.texanum,none,open,total,2.9,1.360976553
468,X.texanum,none,open,root.shoot,1.416666667,0.88238918
469,C.fasciculata,none,open,below,22,3.135494216
470,C.fasciculata,none,open,above,50,3.931825633
471,C.fasciculata,none,open,total,72,4.290459441
472,C.fasciculata,none,open,root.shoot,0.44,0.364643114
473,S.scheelei,none,open,below,24,3.218875825
474,S.scheelei,none,open,above,32,3.496507561
475,S.scheelei,none,open,total,56,4.043051268
